,Data
441,"Not Verified |  Chicago to Hyderabad via Dubai. My wife and I bought business class tickets from the airline directly. After getting the boarding pass we wanted to go their lounge. We were informed that we are not allowed to use the lounge as we had a different category of business class ticket, I have traveled in business class on many airlines and this is the first time we have been denied lounge privileges. Buying a ticket on sale means we get the same Privileges for lesser money. We felt like we were economy class passenger. We are determined never to travel Emirates again."
442,"✅ Trip Verified | Bangkok to Birmingham via Dubai. Two seamlessly-efficient A380 flights. Although both with the older versions, with the slightly curious bar area, the cabin crew were excellent – efficient, courteous and chatty. The Emirates lounge in Bangkok is excellent with a good selection of food and drink, including champagne, and boarding was handled efficiently with business passengers having their own line. As ever with this route, the Wi-Fi connectivity varied – at times it was very fast and others did not work at all. Food on the flight was tasty and the crew were diligent in ensuring that glasses were topped up. The connection in Dubai was easy, without any terminal change, and the lounge gave easy access to the aircraft. On arriving in Birmingham, our bags were waiting on the carousel before we had progressed through the slow immigration process."
443,"✅ Trip Verified |  Johannesburg to Phuket via Dubai. First time on Emirates and expected the outstanding service and comfort that  friends have been talking about. I did not experience that. On both legs, crew was unfriendly and not very welcoming. The senior crew member on the outbound leg was exceptionally kind, but for the rest of the team it felt like they were just fulfilling a duty. On the return flight, the crew member got my drinks and food order wrong twice - and when I pointed it out, she looked annoyed as if it was my fault. Having flown with many other airlines before, I still rate Qatar Airways top, and Swiss as my second best in terms of quality of service, quality of food and overall customer experience."
444,"Not Verified |  JFK - MXP - JFK, back and forth on an A380 with Emirates. Fantastic service starting from the ground at the check in counters (in both MXP and JFK) to in-flight. Spacious seats, good in flight entertainment and nice array of drinks offered. Only point with room for improvement are the meals - reasonably good but not on par with all the rest."
445,"Not Verified |  Hamburg to Tehran via Dubai. We flow with a baby. On the ongoing flight it was not as we expected. Staff were not so welcoming and equipment was bad. There was a bassinet which was too high that you have to stand up to be able to see the baby. There is air conditioning which blow air directly to the baby and there was a huge tv directly on top of the bassinet which changes the view every minutes and in the night it annoy the baby. When bassinet were installed it is impossible to use table to tv. There is a trolley on airport but it is not suitable for younger than 6 month babies. There is no gate check for your own trolley. They do not accept it. I contacted and asked if i can checkin my carry on luggage which is so common for other airlines, they said i can but while getting boarding pass they did not accept it, so i had to go with 3 carry on luggage and baby seat in. Over all the going flight was not good. On the way back the first flight was delayed and i had less than 40 minutes to catch next flight and staff was helpful. Even though the flight had 50 minutes delay in take off. The return flight was better and we had better seats but tv and airconditionning issue still the same. Another annoying issue was staff does not know anything. Every question you ask they will reply the same, i will ask and let you know which never happened. The only flight which staff was helpful was from Dubai to Hamburg. The rest of the staff was not good."
446,"Not Verified |  Flew Dubai to Denpasar return. Overall dissatisfied mainly due to the limited amount of drink runs provided by staff. The flight is over 9 hours long plus being stuck on the tarmac on the outbound flight from Dubai and only three rounds of drinks are provided! So only one drink every three hours which is simply unacceptable. Meanwhile the inflight entertainment warns you to drink sufficiently, making you even more frustrated."
447,"Not Verified |  New York to Perth via Dubai. Our outbound was delayed from Newark and I was concerned on our entire flight that we would miss our connection in Dubai. The host assured me Emirates had the ability to hold any flight for up to one hour, and that we would make our connection. We arrived only to find we had missed our connection by 20 minutes. We were devastated, as this was the only flight out that day, and were told we would have to spend 24 hours in Dubai. There was no one on the ground to help us, so we made our own way to customer service. The staff were rude and completely unapologetic that we would lose 24hrs from our vacation. They told us to go to the hotel and didn't give us any guidance as to how to get our baggage, or even where our baggage would end up. The flight they rebooked us on allocated us seats at the back of the plane, as if losing 24hrs wasn't punishment enough. We then spent a further 3 hours at the airport, trying to get our seats moved and also secure our baggage. Even more concerning than all of this, there was no guidance around what it meant to enter the UAE and what we should be careful of medication-wise. When we went through customs to enter Dubai, they searched my bag and started questioning myself and my husband for sleep medication I had with me. It was incredibly disturbing and made even worse later finding out my husband had both Benedryl and pseudoephedrine - two over the counter drugs that are jailable offences in the UAE without a prescription! This is a complete lack of duty of care by Emirates.  This is disgusting behavior and not what I expect of what is said to be a premium airline. The above, and the complete lack of empathy I received from Emirates staff has been a completely awful experience. Emirates should be ashamed you are charging the fees you charge for this type of treatment."
448,"✅ Trip Verified | Perth to London via Dubai. This is the first time I have flown with Emirates  The staff were all so friendly and knowledgeable. I flew in Economy class, and it was still very good. The cleanliness of the lavatories and the aircraft was above the standard. The food was also very nice. Only negative for me is the WiFi."
449,"✅ Trip Verified |  Birmingham to Bangkok via Dubai, excellent flights on new A380 aircraft. Cabin crew were friendly, efficient and ensured that we received excellent service. One criticism – which was shared by other passengers and indeed cabin crew we spoke to – is the appalling choice of music played when boarding the aircraft. We heard a number of songs dating back to the 1970s and 1980s which we had hoped we would never hear again. Although boarding was efficient, exiting was more chaotic. The problem is that both business and economy passengers are converging on the same exit which meant that it took an inordinate amount of time get off the aircraft. Why pay for a business ticket if you can’t enjoy the advantages?"
450,"✅ Trip Verified |  Singapore to New York via Dubai. For this trip to JFK we decided to travel 1st time with emirates. On the departure date the journey was more than 21 hours from Singapore. The staff in the plane were arrogant and unhelpful. They were unwilling to help even for taking hot water for my other baby to make milk. Imagine requesting for hot water for baby milk (1st time on to the flight) and was greeted with an unhappy face from the crew. This is not during the period where everyone were required to remain seated. We are family of 8. Our baby 24 mths old and 4 mths old were not making things easy. The staff was rude to us from the start.  We were not demanding passenger nor were we rude at any time. We had on many occasions called them by pressing the button but at all times nobody came to our seat to attend to us. This is far from what we called excellent service coming from an international airline.  They told us to put up the hand carry luggage ourselves when my 13 yr old daughter had difficulties on 1 occasion. On another occasion there were clean pair of socks on the floor and they told us to clean that up. I was appalled by the choice of words they used. They even make unhappy faces when we requested for drinks as kids were thirsty. I am not a big eater but even i find that the food provided was insufficient in portion. We should have been served a proper meal for the last meal but instead we were given a small piece of pizza. As we were all very hungry on that day and Halal food was difficult to find at JFK airport we had to travel very far to have our meal at Philadelphia, the only place we know there were authentic halal food. This is from my experience. I was never required to send a feedback on service by an airline but our experience on 24 Dec with Emirates has left us so disappointed that we have no choice but to write this review."
451,"✅ Trip Verified |  Stansted to Singapore via Dubai. The flight was long and arduous due to flooding at Dubai airport. This was obviously out of Emirates control. However the lost my bag, and as I was travelling on official business I was forced to purchase a replacement suit and medication. I first rang the emirates number in Singapore and spoke to an individual who told me they would email about the case. No email arrived. A week later I was passing through the airport again and went to the Emirates desk. The member of staff was incredibly rude, and informed me it was nothing she could help with (in fact she just sat shaking her head for most of the conversation). I then rang the Singapore number again and the member of staff informed me I would have to complain. I explained that I did not want to complain, but was just looking to have a normal conversation with a member of staff. The cost of the replacement clothes was modest. Anyway, I then used the feedback form online to send my request, and received nothing back after 3 days. Emirates do not provide an email address. My next step was to speak with someone on online chat function, who informed me it could take up to 30 days to respond to my complaint. I expressed incredulity at this number. My only conclusion is that Emirates does not do customer service - unless that is, you want to buy a business class ticket. It has been a very frustrating and sorry affair. The lack of clear information, mixed messages, is very frustrating. Individual members of staff seem to have no authority to deal with a problem, which speaks to a dysfunctional and frustrating work environment."
452,"✅ Trip Verified | Hong Kong to Paris via Dubai with Emirates. Had great 6 days stopover in Dubai. Value for money! The best entertainment system on board for sure. Loved their live TV, but unfortunately it is not available on all flights. Meals are just okay, service is slow and disorganized. They take out blankets and headsets from the people 40 minutes before landing, while people moving to the toilets up and down aisles and it creates such a mess in the cabin. "
453,"✅ Trip Verified | Paris to Hong Kong via Dubai with Emirates. Great on board entertainment. Good seats. Spacious A380. Meals are just okay, they tend to run out of options frequently. Service is slow and disorganized. It's different from flight to flight. They take out blankets and headsets from the people 40 minutes before landing, while people moving to the toilets up and down aisles and it creates such a mess in the cabin. I really don't like those forceful advertisements before landing in Dubai. There are too many of them, too long, too noisy!"
454,"✅ Trip Verified |  Lisbon to Sydney via Dubai. The connection flight was overbooked, they did not allow us out of the plane so that we could get to our connection flight, and they rebooked us on the next day flight, and told us to go to the business lounge and wait. when I tried to make a complaint, they didn't want to know. The compensation was 15,000 reward points, no apology, no care. On the flight the next day, the TV in front of us at the back of the plane did not work."
455,"✅ Trip Verified |  Hong Kong to Prague via Dubai. I could lie down and sleep in economy class because of the low load factor.  The aircraft was well-decorated and the legroom was satisfying. nThey have the best inflight entertainment system. The tickets were relatively cheap. The cabin crew were generally friendly. Dubai is not a passenger-friendly airport. It is quite frustrating to travel around. The airport is  massive but the train does not run through the entire airport. The cabin crew had not been too eager to serve. They sat in the galley for most of the time. When a passenger needed anything, instead of hitting the bell, they went to the galley and ask for their needs. The toilets were quite dirty. Although it takes 8 hours to fly from Hong Kong to Dubai, they only serve two meals (one hot and one cold).  Passengers needed to wait for 6 hours for another meal."
456,"✅ Trip Verified |  Barcelona to Mexico City. I boarded Emirates flight EK255 at Barcelona airport. We were assigned D19 gate, once the boarding started they made us go down a spiral staircase to the exterior, to wait for a bus to arrive after fifteen minutes to a far away location from to board by steps.  The unacceptable fact is that once the passengers got off the bus, soaking under the storm, the crew hindered the traffic, stopping the passengers outside the airplane access door to check their documents before allowing entry, despite having credited our access at the boarding gate and when boarding the bus. It is ridiculous that security measures are so poorly coordinated that they need to check the boarding passes three times. After twenty minutes under the rain, I managed to enter the plane. Before occupying my seat seat -7K- right next to the door, a second flight attendant asked me for my boarding pass, preventing me from sitting until I showed it. It was a pleasant experience to arrive in Spain by Aeromexico, while leaving with Emirates has been a terrible disappointment."
457,"✅ Trip Verified |  Johannesburg to San Francisco via Dubai. I traveled to San Francisco  for important business meetings. After experiencing almost 4 hours of delays I was informed on my arrival (12 Jan. 2020) in SF, Emirates informed me that my baggage had been lost. I was asked to complete a form and was told that the bag would be delivered to my hotel the next day. This was already upsetting because I didn't have clean clothes and would be attending my first meeting the following morning. I was forced to buy a clean set of clothes. After being told that Emirates would be in contact with me, and having heard nothing from the company I decided to call them later that day, only to find out that my baggage would only arrive the next day (14 Jan. 2020). As upsetting as this was, I didn't want to spend more money to rectify their mistake, so I borrowed a set of clothes from my colleague for our meetings the following day. Once again, not hearing anything from Emirates, I called them the morning of the 14th to ensure that everything will be taken care of. However, when I returned to my hotel later the afternoon my bag still was not delivered. Once again, I called Emirates just to hear that there was not anything they could do to resolve my issue, I was simply asked to wait. Now I will have to spend more money fixing their mistake. The lack service, communication and professionalism I received from Emirates has been distasteful. There has been no effort from their side to rectify their mistake, which is appalling for a company who consider themselves a leader in business travel. For this reason, I believe one should rather avoid using their services if you are time-pressed and have important meetings to attend."
458,"✅ Trip Verified |  Brisbane to Singapore. Five star pricing but two star hospitality. Once the passengers boarded the plane and after the crew members checked everything was all good, the crew  were nowhere to be found until the last 90 minutes before arrival, which was the meal service time. The experience during the meal service was unpleasant and chaotic, you can see the crew were rushing. In flight entertainment screen resolution was bad."
459,"Not Verified | Hong Kong to Mauritius via Dubai. Emirates check-in at HK fast. Very early flight, they don't do the day before check-in anymore. Lounge huge, well-stocked and near the gate. 777 was half empty, lovely service from the crew. Breakfast really small, lunch was huge, very tasty. TV and all tech good, seat and cabin clean. Limo service excellent, really slick. A380 to Mauritius is excellent. Drinks in the bar with a friendly crew. Food is excellent, great drinks choice. More bathrooms. Return to Dubai same, very good. Return to Hk excellent. They have a much higher crew ratio than CX. Everything very good. App worked really well and honestly CX should take notes."
460,"✅ Trip Verified |  Cairo to Dubai. Has been more than 5 hours now waiting at check in counter to board on the 12:25pm flight. Initially we were advised the flight is cancelled and they are checking for alternatives. We were surprised to know that other passengers with us were secured seats on the next flight and already checked in! Until now we dont have any answer or information on what to do next and Emirates airlines employees refuse to give us any information and some are very rude. In addition, the Emirates application keeps on changing the flight time every 2 hrs from 12:25 to 14:00 to 16:29 to 17:00 which is very misleading and frustrating!"
461,✅ Trip Verified |  Sydney to Nairobi via Dubai. My seat did not recline. No help from staff. My 3rd flight with Emirates in a row where there has been a problem. Standards have fallen below requirement. And good luck getting a response from their team afterwards. 
462,"✅ Trip Verified |  Had checked in on-line for an 11:50 Dubai to Athens flight on Dec 11th. My taxi arrived at 10:40 due to the unusually heavy rain that day. Run to drop off my luggage. An Emirates employee tried to call for about 5 minutes boarding, without any reply. Then he refused to put me on the flight and said ‘sorry you are 2 minutes late’.  Didn’t try to find a solution. Asked me to file a complaint, send back a standardized reply about timings and not referring to any of my questions. Emirates people smile and talk nicely, but when things get serious they really don’t care about their customer, have no empathy, make mistakes and even worse pretend to care. Shiny on the outside, irresponsible on the inside."
463,"✅ Trip Verified |  Seriously disappointing. I got extremely bad in-flight service from Dubai to Lisbon. Crew did not seem to know what they are doing, food was very bad, no drinks served in a timely manner."
464,"✅ Trip Verified |  I regret selecting Emirates over Qatar Airways because I was flying Muscat to Singapore via Dubai and due to a delayed first leg I had to rush to my next flight. While I made it to the gate on time, I was upset because my seat had been given away and I was rebooked on the next flight. This is also not the first overbooking incident that I have heard of. This is unacceptable as the decision for that was taken out of my hands. Having arrived at the boarding gate on time and being told that my seat was given to someone else was upsetting. When I finally got on the plane at 1.05am, there were a lot of issues with seating allocation since some families and couples were separated as well. "
465,"✅ Trip Verified |  Kuala Lumpur to London via Dubai. KL to DXB has no issue at all. Was a smooth aircraft n service. The meals and services were good. But the problem has started with flight EK001 while flying to London. I already booked a preference seat and also requested a special hindhu vegetarian meal choice. But without my consent, there was a couple sit in my seat and asking me to exchange the seat. I didn't made any argument just accepted without any sorry and thanks from them. Later on when the special meals (veggie/kids meals) were distributing I have told a cabin crew that I made a special request for meals and exchange my seat. Please take note of it and give the meals to me to this new seat. After a second another crew came to me and begging at me said she wrongly delivered the food to the couple and accept her apologies. Still, I was keeping my calm. Later on, they offered me a bun which contains eggs. I've highlighted to the crew that Hindhu vegetarian meals doesn't contain beef and eggs. Why didn't check my request before distributing the foods. The crew came again and said  sorry.  Now same 2nd incident happened while from UK to Dubai on 31/12/19 on EK008. While the breakfast distributing I found my meals contain eggs. During lunch meals, a crew came and told me that she forgot my veggie meals request and I was offered a fruit platter. Sadly I cannot enjoy just a pineapple alone, I just avoided.  My next flight EK344 didn't offer welcome drinks and meals / snacks before landing. Emirates we pay the hefty price the service. But I didn't know you have cost-cutting strategy."
466,"✅ Trip Verified |  Perth to London via Dubai. This is the first time I have flown with Emirates and amazing service. Very good entertainment. The blanket and pillow was very useful. The staff were very friendly.  I was in Economy class, and it was still a very pleasant experience. You get what you pay for. Will definitely fly with Emirates again."
467,"✅ Trip Verified |  This was my first time with Emirates, from the chauffeur service, the A380 is better than the A350 for me. The A350 is good, but it lacks space and a bar. You can't beat it. The Emirates lounge at AKL airport is the best I have visited. Best food etc, easily. Unusually, the Emirates lounge at Dubai was fairly underwhelming. Huge, but poor food choices etc, rather mediocre for a hub of that size. Emirates staff great and helpful, friendly etc, can't fault them, Buying a BC ticket from AKL to LHR isn't cheap so price is a serious deciding factor for me. I look forward to the return journey in Jan."
468,"✅ Trip Verified |  Amman to Dubai in February 2019. Great airline and a good experience with them, the only bad point is the food. The entertainment is superb and the seat is comfortable. there is also blankets, as well as charging point."
469,✅ Trip Verified |  Dubai to Singapore. Maybe the suite is somewhat dated but I find it more fun to travel in an A380 as in a 777. The service was outstanding. The food was of a better quality when flying ex Dubai. We had to notice that aside the outstanding Dom Pérignon 2008 the choice of wines - especially in red - is of a lower standard when flying to an Asian destination as travelling to Europe.
470,"✅ Trip Verified | Melbourne to Birmingham via Dubai. As a travel blogger I was very excited to fly onboard the A380 with Emirates. Unfortunately that excitement was shortly met when dealing with the Emirates staff. When I approached staff to ask questions about the flight and cabin configuration, the staff were dismissive and rude. Upon being onboard I did request to see some inflight shop items to review, in which was never bought out for the entire flight. I can say though the inflight meals and entertainment system was very good, I’m very disappointed about the customer service of the staff."
471,"✅ Trip Verified |  Brussels to Malé via Dubai. A couple of years ago business class of Emirates and Qatar were similar but Emirates is sliding down a bit while my experience with Qatar Airways is always top. This time both flights were really not okay: Crew showed no or little interest in you and was chatting in the galley; before, cabin staff  introduced herself to each passenger, not anymore; ICE system not working properly, finally this was solved by a stewardess. Food not bad, but average, no hot towels before takeoff; no amenity kit anymore, new business class with 3 middle seats is strange choice, and claustrophobic, certainly middele seat. Second flight in an a bit outdated an not so clean 777; badly organised priority boarding for business (in fact almost none) in DXB. "
472,"✅ Trip Verified |  I was on a 7 hour flight from Rome to Dubai ,There was an extremely loud group of people standing and talking behind us. I called sup on an air hostess to deal with the matter he replied with no problem and did not do a thing. I do so a second and third time and only the fourth time did he call upon someone to talk to the group that were standing and not even seated for well over an hour and a half. I could not enjoy my sleep nor rest and had to call upon help so many times to not be helped ? That was truly horrible and a terrible flight."
473,"✅ Trip Verified |  Brussels to Dubai. There are a lot of nice items however some details should be improved. The suite in a 777 in first is extremely well designed; the wines during the flight were great including Dom Pérignon of 2008 and even a First growth Bordeaux Ch Margaux 2004. Aside of the caviar, despite Emirates still not give pearl spoons, the food could be better. For first class it was just Ok - despite the very friendly service. Emirates is very generous with the drinks in first, refills, dessert wines digestives. I did not ask for the breakfast - it was too early for me 4.30AM Dubai time. Passengers do get a pyjama and decent amenity bag. In a 777 there are 2 restrooms for a maximum of 6 people, however the space is very limited. The Belgian chocolates are replaced by some chocolates made in the UK."
474,"✅ Trip Verified |  Dubai to Moscow. After flying many times, today I come to know that meal preference does not means that we will get. So if you're vegetarian better to carry own food rather than depending on airline."
475,"✅ Trip Verified | Perth to Dubai. Painless check-in which combined with smooth boarding ensured the wheels left the ground precisely on time, underlining what can be achieved by a competently managed airport and airline working harmony. Young mostly male crew responsive to specific calls but not seen much otherwise, e.g., water rounds during the night. Two good vegetarian meals let down by the enshrined practice of UAE major carriers of treating requesting special meals with antipathy if not contempt, no drink service and trays not collected for 2 hours or more. Given the premium price demanded by Emirates, particularly if travelling to / from the UAE, reasonable to ask for rather more."
476,"✅ Trip Verified |  London to Sydney via Dubai. I fly with Emirates on a yearly basis after generally having good experiences with them – even in Economy. Flying to Sydney this year it’s clear to see an awful lot of cost-cutting at play with the Economy Class product. While EK will get you from A to B in relative comfort, gone are the days of personalised service, care for passengers or the little perks that used to make travelling with them so great – with items such as hot towels having been ditched. It’s a shame to see EK go down this route, but it’s unlikely they’ll be my go to option in future – unless the price is right."
477,"✅ Trip Verified |  Dubai to Manchester. I find that when you fly Emirates you tend to get one of two types of experience in the Business Class cabin. You are either totally blown away by the friendliness and the level of service or you are totally underwhelmed and thinking that you should have spent your money elsewhere. This flight was the latter of the two. The crew could not be less interested in the passengers. They spent most of their time on the flight in the galley say down chatting amongst themselves. The flight was a night flight and they said it was a reduced service flight! I explained that I was hungry so they gave me two tepid seafood dishes - revolting. The A380 was a 2 class model and quite frankly had seen better days and looked in need of a clean. Emirates need to lift their game if they want to keep up with the likes of Qatar, Cathay, Asiana or even Qantas or Air NZ. This was a poor effort by them, they could not care less and it showed."
478,"✅ Trip Verified |  Sydney to Dubai in first class was not amazing it was nice. The service was adequate, the seat was comfortable, the entertainment was what you expect on Emirates, i.e. lots of it but not any films that I  was really excited about, but enough to keep you entertained. The only thing for me on the flight that was a stand out was the catering that was very good, as was the wine selection - which strangely enough was not top shelf wines but very good middle of the road wine. What was bizarre for me was the lack of training in the food and wine that the crew had. Did not know the wines and served the caviar with a metal spoon. I asked for a bone spoon and they said that they did not have any - and when I pointed out that metal reacts with the caviar and that is why it is not normally used, they looked at me if I was from the moon. Also bad practice was making First passengers pay for wifi. The flight was a code share with Qantas and the crew kept telling me wifi was free if I joined their FF programme. When I pointed out I was Qantas they said oh well you have to pay then. I think that that Qatar Airways QSuite business class is a better product than the EK first class, but that is just me. So nice flight, I would not rush back, neither would I have concerns about flying again."
479,"✅ Trip Verified |  Dubai to Singapore in January 2019. There is nothing that I can criticize in the regular case. A professional crew, incredible meals, amenities and shower in the plane. Pyjamas and comfortable bed. The first class cabin in some A380-800 may look outdated compared to new version on 777 but this is just a side note."
480,"✅ Trip Verified |  New York to Kolkata via Dubai. We were able to get adjacent seats in bulkhead, giving us a good bit of leg space and being at the edge in the centre section of a 3x4x3 layout, the flight to Dubai left us feeling less cramped. The plane was organized in a way that offered spaces to stand and stretch and the bathrooms on the flight to Dubai were tidy. We were served ample meals and liquor was provided on request. Snacks were laid out in the galley. The collection of films to view was huge -- in fact, selecting from this immense library was a challenge. Good head sets were provided. Flight attendants were friendly and I thought their uniforms were attractive. The wait at Dubai to connect to Calcutta was several hours but the airport is a shopper's paradise. I found the prices on liquor competitive and there were many international shops and eateries. The terminals were clean  with ample seating. The security check between flights was smooth. At JFK on boarding, a camera snapped our picture; the boarding passes themselves were not scanned. We had economy class tickets but on boarding at Dubai, we found a cabin crew member selling empty seats in business class. He had a mobile credit card reader. We paid for two tickets. The business class was in a 2x3x2 layout and was uncrowded.  The cabin felt old fashioned and the seats did not go to 180 degrees; it was angled, but comfortable nevertheless. Attendants were  very pleasant. Duty free shopping was available and I picked up a a few cosmetics. No landing cards were provided. Neither were any amenity kits, though a pair of socks and a eye shade in a plastic wrapper was in the magazine pocket. The TV screens were on the wall separating the biz class cabin from first class. All the flights were on schedule. Emirates does not belong to any of the big 3 alliances. The only US airline you can get points with is Jet Blue. My first time with Emirates left a positive impression. If they were members of one of the alliances, I would fly with them again."
481,"✅ Trip Verified | London to Bangkok via Dubai. Another great set of flights with Emirates, flying from London to Dubai with a 2 hour stop over and then on to Bangkok Then from Bangkok to Dubai (5 day stop), then back to London. Flights were on time, had a great selection of inflight entertainment, food and service excellent as always. In my opinion Emirates is one of the best airlines I've flown with and I've flown with a lot of airlines."
482,"✅ Trip Verified |  London to Khartoum via Dubai. The worst airline I have taken.  I had 18 hour connection in Dubai. The airline told me that I am not eligible for hotel stay. I have flied with Egyptair, Jordanian and Qatar Airways before and they offered me hotel of my connection was greater than 8 hours. But Emirates did not offer me hotel and was left to wait overnight 18 hours in the airport. It is my first and last time to fly with Emirates."
483,"✅ Trip Verified |  Dallas to Dubai. This is truly the worst airline that I have every flown in. Disgusting customer service in ground and on board. The food is horrible, from cheap Pizza to terrible taste and tough chicken for dinner. The flight attendants are horrible and disappear for hours and leave the kitchen area unattended for hours. I paid $150 extra for a seat that had extra legroom and I had people constantly stepping on my toes and they were standing in front of my seat talking and when I complained, the flight attendant went to the people and other than telling them to return to their seats, instead the flight attendants was making fun of me. Other airlines prevent customers from assembling near the kitchen area and emergency doors, but not this airline. "
484,"✅ Trip Verified |  Trivandrum to New York via Dubai. I have been a regular customer on Emirates Airlines for the last 5 years and chose this airline over many others because of the great service in the past. However, in my most recent travels, I have experienced poor management of flight connections in Dubai Airport. Due to this, I have missed several flights to New York, have been stranded in Dubai for days, have lost or missed my baggage, or have had to run at top speed to barely make it to my gate on time. There is technically only a tight 1 hour and 15-minute layover in Dubai but lately, the flight from TRV to Dubai has been arriving 30-45 minutes late due to an inability to get a gate. This of course suggests poor planning and organizing on your airline’s behalf. This delay leaves about 20 minutes for us to deboard the plane, figure out our new gate, clear security (twice), and arrive at our departing flight. It is almost impossible to do this especially for customers who are first time travelers, older, disabled, or impaired. As an asthmatic, the marathon run I had to make from Terminal C to Terminal A led to bad wheezing and could have resulted in a medical emergency if I had not carried my inhaler. Several times, we only barely made our Dubai to JFK flight because we paid for preferred seats in the front of the plane allowing us to leave quickly. Despite experiencing this incredibly stressful connection, Emirates staff provides no support to help us off the flight quickly. In fact, on our December 12th flight when we alerted the flight attended about our very tight connection (EK201 was already boarding when we landed), she dismissively told us “everyone has a connection flight not just you”. She also argued with my father and I for 5 minutes further delaying our exit from the plane. This is poor management and could be remedied by announcing the names of passengers with very tight connections. However, it seems Emirates no longer cares about their customers. Due to our marathon run, we did make our flight on December 12th, but my relief was short-lived. We were informed that all 3 of our checked bags were not loaded and would instead arrive on EK203 on December 13th at 8:00 am. On December 13th, I called the Emirates number for baggage services at 9am and was told my bags had arrived and JFK and needed to clear customs before it was delivered to my home. I was also informed that I would be updated on my baggage status- which did not occur. My family and I were put through hell to get our baggage back. We had to contact Emirates 5-7 times within the day. At one point, a chat service agent gave us conflicting information insisting that our baggage was still in Dubai despite being told otherwise many times. Ultimately after and exhausting flight and while still jetlagged we had to stay up until 2:30 am calling both Emirates and the delivery company (Bex) every hour till our bags were delivered. Due to the issues detailed above, my family and I have decided to no longer fly Emirates. . I used to be a loyal customer, but your company has really gone down the drain these past few flights and loyalty is not a good enough reason to suffer during my travels. Horrible Service. Horrible Airline."
485,"Not Verified |  Volo eccellente con servizi eccezionali in assistenza e a bordo. Wifi ottimo con pasti a bordo da encomio. Il personale sempre impeccabile nell'assistenza continua - Excellent flight with exceptional assistance and on board services. Wifi excellent with meals on board by commendation. The staff is always impeccable in continuous assistance.
 "
486,"Not Verified |  Return trip from Perth to Prague via Emirates. Cannot fault Emirates, clean aircraft, good legroom, good range of food. Chose the late departure from Perth to secure A380 on all 4 legs. 2 hr stopover in Dubai both ways, had to jump on the bus between A and C Gates on way over, but not on way back. Enough signage and staff on hand to point you in right direction. Pre-selected seats which cost AUD$100 all up, but via app was able to tweak them along the way. Before my return legs home I was even able to select seats in rows 47 and then 49 in economy which were previously showing as 'preferred' at a higher cost. I even managed to score spare seats next to me. If you can sit in this smaller section of #40's rows I recommend it as board a little sooner and off quicker as use the front door - just be aware of bassinets at the front. This was my first trip with a set of noise cancelling headphones and they are worth the money! IFE all worked well, few different options for tracking progress of flight and cameras. Didnt use the wifi."
487,"✅ Trip Verified |  I've been travelling Emirates for over a decade for work, am a Skywards customer, and have previously always been impressed with the quality of the services on board. However, in the last few years I've seen a decline in the food quality and lounge facilities, as access has grown dramatically. All this is fine, except for a recent incident which has convinced me it's time to switch to another airline for our long haul flights. This past year I was denied boarding on a Dubai-Kolkata leg of a flight while I was enroute to a wedding.  I requested not to be the ""random"" selection for denied boarding (due to overbooking). I was told as compensation I would be given a return ticket from Dubai to Calcutta, but I explained this had no value to me as someone who lives in Canada and is not based in Dubai. The Agent then  informed me that he had made a note on the file and upon ticketing it could be changed to a ticket from Dubai-Toronto upon calling in. I confirmed verbally with the agent 3 times. It was 2 am, and I retreated to get some sleep. Naturally when I went to use the ticket, I was informed this was not possible. However the Emirates ticketing agents informed me that the ticket could be used to fly from Dubai to Middle East destinations such as Syria, Iraq, Iran and Pakistan and then chuckled. I have spent multiple hours on the phone with Emirates agents trying to sort out the problem, and the service has ranged from excellent and understanding (thank you Connor in Manchester), to rude and gleeful at pulling a bit of a hoax on a customer. Ultimately Emirates refused to honour the guarantees made by the agent (in spite of conducting an investigation which did not result in findings that contradicted my statements), because their agent was a DNATA representative. In short, you cannot trust the folks standing under the Emirates sign at the check-in in Dubai, because Emirates itself will not back their guarantees. I am extremely disappointed, and have started flying Qatar Airways instead. "
488,"✅ Trip Verified |  Dubai to London. Emirates has to follow international standards. We were delayed for 45 minutes. Not a single explanation or word of apology was given by the captain. This is unacceptable. We arrived in London 22 minutes late and not a word of comment. Just ""It's a nice sunny morning in London."" This approach to ignoring the delay is absurd. Do they think if they say nothing, the problem doesn't exist. Emirates has to learn how to be punctual or learn how to apologise for delays."
489,"✅ Trip Verified |  EK 318 from Dubai to Tokyo, Narita on 21st Nov 2019. This flight seemed to have issues right from the start. The Boarding gate where we were to board had several leaks so we had to try and huddle in the dry sections. There was not enough seating. Boarding was chaotic at best and anyone willing to lie about their Emirates membership got in first. The lady at the door was unable to cope. The cabin was dirty, the crew seemed to not know each other, 2 rows at the back in Economy were kept empty for the use of crew (at the cost of paying passengers and despite having a section for crew to rest and sleep) which despite my request they refused to relinquish. Rest of the passengers had to make do without the 6 extra seats. Apparently this is a regular reservation for the crew on this flight. I paid 350 Dirhams for a horrible seat with legroom only for my right leg. Photo attached. Crew shouted to each other about running out of meals, one crew member scolded the other members and paid very little attention to the general public. There was one apparently senior staff who did a royal walk through the cabin and only spoke to 3 or 4 people whom she chose, I am guessing at random. Lastly they took away blankets an hour before landing and then piled them into bags. So again customer was last. It was cold and we were still an hour away. All in all I would not recommend Emirates to anyone. Please avoid this airline until they improve and take their customers seriously. I have traveled by Emirates Business class in the past and the service was excellent."
